bigram,count,U.S. NEWS,COMEDY,PARENTING,WORLD NEWS,CULTURE & ARTS,TECH,SPORTS,ENTERTAINMENT,POLITICS,WEIRD NEWS,ENVIRONMENT,EDUCATION,CRIME,SCIENCE,WELLNESS,BUSINESS,STYLE & BEAUTY,FOOD & DRINK,MEDIA,QUEER VOICES,HOME & LIVING,WOMEN,BLACK VOICES,TRAVEL,MONEY,RELIGION,LATINO VOICES,IMPACT,WEDDINGS,COLLEGE,PARENTS,ARTS & CULTURE,STYLE,GREEN,HEALTHY LIVING,TASTE,THE WORLDPOST,GOOD NEWS,WORLDPOST,FIFTY,ARTS,DIVORCE
joe_biden,271,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
michell_obama,267,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jimmi_kimmel,266,0.0,143.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
game_throne,265,0.0,16.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trump_administr,264,6.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
red_carpet,262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_school,261,5.0,0.0,15.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,8.0,19.0,0.0,0.0,2.0,2.0,5.0,8.0,5.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0
open_letter,259,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,14.0,14.0,0.0,0.0,11.0,4.0,6.0,0.0,6.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0
istar_war,252,0.0,20.0,0.0,0.0,0.0,5.0,0.0,161.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
mental_health,247,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,5.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jimmi_fallon,246,0.0,135.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trump_say,245,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
